#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AGXT	SPTLC2	9606.ENSP00000302620	9606.ENSP00000216484	0	0	0	0	0	0	0.800	0	0.800
AGXT	SPTLC1	9606.ENSP00000302620	9606.ENSP00000262554	0	0	0	0	0	0	0.800	0	0.800
AGXT	FH	9606.ENSP00000302620	9606.ENSP00000355518	0	0	0	0	0	0.109	0.809	0	0.822
AGXT	CBS	9606.ENSP00000302620	9606.ENSP00000381231	0	0	0	0	0	0	0.900	0	0.900
AGXT	SHMT2	9606.ENSP00000302620	9606.ENSP00000333667	0	0	0	0	0	0.085	0.978	0	0.979
AGXT	HOGA1	9606.ENSP00000302620	9606.ENSP00000359680	0	0	0	0	0	0	0.900	0	0.900
AHR	RB1	9606.ENSP00000242057	9606.ENSP00000267163	0	0	0	0	0	0.725	0	0	0.725
AHR	ESR1	9606.ENSP00000242057	9606.ENSP00000405330	0	0	0	0	0	0.833	0	0	0.833
AKT1	MAPK1	9606.ENSP00000451828	9606.ENSP00000215832	0	0	0	0.593	0	0.110	0.900	0	0.907
AKT1	MAPK14	9606.ENSP00000451828	9606.ENSP00000229795	0	0	0	0.621	0	0.739	0.900	0	0.972
AKT1	MDM2	9606.ENSP00000451828	9606.ENSP00000258149	0	0	0	0	0	0.891	0.900	0	0.988
AKT1	PIK3CA	9606.ENSP00000451828	9606.ENSP00000263967	0	0	0	0	0	0.738	0.900	0	0.972
AKT1	TP53	9606.ENSP00000451828	9606.ENSP00000269305	0	0	0	0	0	0.184	0.900	0	0.914
AKT1	NOS3	9606.ENSP00000451828	9606.ENSP00000297494	0	0	0	0	0	0.786	0.900	0	0.977
AKT1	GSK3B	9606.ENSP00000451828	9606.ENSP00000324806	0	0	0	0.579	0	0.929	0.900	0	0.992
AKT1	NOS2	9606.ENSP00000451828	9606.ENSP00000327251	0	0	0	0	0	0.045	0.900	0	0.900
AKT1	FOXO3	9606.ENSP00000451828	9606.ENSP00000339527	0	0	0	0	0	0.853	0.900	0	0.984
AKT1	MAPT	9606.ENSP00000451828	9606.ENSP00000340820	0	0	0	0	0	0.737	0	0	0.737
AKT1	MTOR	9606.ENSP00000451828	9606.ENSP00000354558	0	0	0	0	0	0.925	0.900	0	0.992
AKT1	JUN	9606.ENSP00000451828	9606.ENSP00000360266	0	0	0	0	0	0.085	0.900	0	0.904
AKT1	SRC	9606.ENSP00000451828	9606.ENSP00000362680	0	0	0	0.566	0	0.601	0.500	0	0.792
AKT1	BCL2	9606.ENSP00000451828	9606.ENSP00000381185	0	0	0	0	0	0	0.900	0	0.900
AKT1	CDKN1A	9606.ENSP00000451828	9606.ENSP00000384849	0	0	0	0	0	0.776	0.900	0	0.976
AKT1	CREB1	9606.ENSP00000451828	9606.ENSP00000387699	0	0	0	0	0	0.292	0.750	0	0.815
AKT1	BRCA1	9606.ENSP00000451828	9606.ENSP00000418960	0	0	0	0	0	0.735	0.900	0	0.972
AKT1	PIK3R1	9606.ENSP00000451828	9606.ENSP00000428056	0	0	0	0	0	0.558	0.900	0	0.953
AKT1	NR4A1	9606.ENSP00000451828	9606.ENSP00000440864	0	0	0	0	0	0.294	0.900	0	0.926
AKT1	CTNNB1	9606.ENSP00000451828	9606.ENSP00000495360	0	0	0	0	0	0.539	0.400	0	0.711
AKT1	PIK3CB	9606.ENSP00000451828	9606.ENSP00000501150	0	0	0	0	0	0.334	0.900	0	0.930
ALAD	FASN	9606.ENSP00000386284	9606.ENSP00000304592	0	0	0	0	0	0	0.808	0	0.808
ALDH2	PCCB	9606.ENSP00000261733	9606.ENSP00000419027	0	0	0	0	0	0	0.800	0	0.800
ALDH2	PCCA	9606.ENSP00000261733	9606.ENSP00000365462	0	0	0	0	0	0	0.800	0	0.800
ALDH2	GLUL	9606.ENSP00000261733	9606.ENSP00000307900	0	0	0	0	0	0	0.800	0	0.800
ALK	KRAS	9606.ENSP00000373700	9606.ENSP00000256078	0	0	0	0	0	0.110	0.900	0	0.907
ALK	PIK3CA	9606.ENSP00000373700	9606.ENSP00000263967	0	0	0	0	0	0.069	0.900	0	0.902
ALK	EML4	9606.ENSP00000373700	9606.ENSP00000320663	0	0	0	0	0	0.067	0.900	0	0.902
ALK	NRAS	9606.ENSP00000373700	9606.ENSP00000358548	0	0	0	0	0	0.110	0.900	0	0.907
ALK	JAK2	9606.ENSP00000373700	9606.ENSP00000371067	0	0	0	0.562	0	0.162	0.900	0	0.912
ALK	MYC	9606.ENSP00000373700	9606.ENSP00000478887	0	0	0	0	0	0.045	0.750	0	0.751
ALK	PLCG2	9606.ENSP00000373700	9606.ENSP00000482457	0	0	0	0	0	0	0.900	0	0.900
ALK	PIK3CB	9606.ENSP00000373700	9606.ENSP00000501150	0	0	0	0	0	0.186	0.900	0	0.915
ALK	HRAS	9606.ENSP00000373700	9606.ENSP00000407586	0	0	0	0	0	0.110	0.900	0	0.907
ALK	PIK3R1	9606.ENSP00000373700	9606.ENSP00000428056	0	0	0	0	0	0.378	0.900	0	0.935
ALPP	GCH1	9606.ENSP00000375881	9606.ENSP00000477796	0	0	0	0	0	0	0.900	0	0.900
AMH	NOG	9606.ENSP00000221496	9606.ENSP00000328181	0	0	0	0	0	0	0.900	0	0.900
APC	LRRK2	9606.ENSP00000257430	9606.ENSP00000298910	0	0	0	0	0	0.097	0.720	0	0.736
APC	CASP3	9606.ENSP00000257430	9606.ENSP00000311032	0	0	0	0	0	0	0.750	0	0.750
APC	LRP6	9606.ENSP00000257430	9606.ENSP00000261349	0	0	0	0	0	0	0.720	0	0.720
APC	LRP5	9606.ENSP00000257430	9606.ENSP00000294304	0	0	0	0	0	0	0.720	0	0.720
APC	GSK3B	9606.ENSP00000257430	9606.ENSP00000324806	0	0	0	0	0	0.863	0.900	0	0.985
APC	AXIN1	9606.ENSP00000257430	9606.ENSP00000262320	0	0	0	0	0	0.994	0.900	0	0.999
APC	CTNNB1	9606.ENSP00000257430	9606.ENSP00000495360	0	0	0	0	0	0.999	0.900	0	0.999
APC	AXIN2	9606.ENSP00000257430	9606.ENSP00000302625	0	0	0	0	0	0.567	0.900	0	0.954
APOE	MAPT	9606.ENSP00000252486	9606.ENSP00000340820	0	0	0	0	0	0.701	0	0	0.701
APOE	SNCA	9606.ENSP00000252486	9606.ENSP00000500990	0	0	0	0	0	0.785	0.500	0	0.887
APOE	APP	9606.ENSP00000252486	9606.ENSP00000284981	0	0	0	0	0	0.837	0.720	0	0.952
APP	NGFR	9606.ENSP00000284981	9606.ENSP00000172229	0	0	0	0	0	0.756	0	0	0.756
APP	TTR	9606.ENSP00000284981	9606.ENSP00000237014	0	0	0	0	0	0.712	0.400	0	0.820
APP	FOXO3	9606.ENSP00000284981	9606.ENSP00000339527	0	0	0	0	0	0	0.750	0	0.750
APP	CRYAB	9606.ENSP00000284981	9606.ENSP00000433560	0	0	0	0	0	0.784	0	0	0.784
APP	LCN2	9606.ENSP00000284981	9606.ENSP00000362108	0	0	0	0	0	0.967	0	0	0.967
APP	SNCA	9606.ENSP00000284981	9606.ENSP00000500990	0	0	0	0	0	0.780	0.400	0	0.862
APP	BACE1	9606.ENSP00000284981	9606.ENSP00000318585	0	0	0	0	0	0.860	0.750	0	0.963
APP	PSEN1	9606.ENSP00000284981	9606.ENSP00000326366	0	0	0	0	0	0.981	0	0	0.981
AR	CCND1	9606.ENSP00000363822	9606.ENSP00000227507	0	0	0	0	0	0.738	0	0	0.738
AR	MDM2	9606.ENSP00000363822	9606.ENSP00000258149	0	0	0	0	0	0.920	0	0	0.920
AR	RB1	9606.ENSP00000363822	9606.ENSP00000267163	0	0	0	0	0	0.629	0.500	0	0.806
AR	RUNX2	9606.ENSP00000363822	9606.ENSP00000360493	0	0	0	0	0	0.071	0.700	0	0.709
AR	SRC	9606.ENSP00000363822	9606.ENSP00000362680	0	0	0	0	0	0.748	0	0	0.748
AR	CTNNB1	9606.ENSP00000363822	9606.ENSP00000495360	0	0	0	0	0	0.888	0	0	0.888
ARL13B	INPP5E	9606.ENSP00000377769	9606.ENSP00000360777	0	0	0	0	0	0	0.900	0	0.900
ASNS	GOT1	9606.ENSP00000377845	9606.ENSP00000359539	0	0	0	0	0	0	0.937	0	0.937
ASNS	ASRGL1	9606.ENSP00000377845	9606.ENSP00000400057	0	0	0	0	0	0	0.937	0	0.937
ASRGL1	GOT1	9606.ENSP00000400057	9606.ENSP00000359539	0	0	0	0	0	0	0.911	0	0.911
ATM	CDK4	9606.ENSP00000278616	9606.ENSP00000257904	0	0	0	0	0	0.054	0.800	0	0.802
ATM	MDM2	9606.ENSP00000278616	9606.ENSP00000258149	0	0	0	0	0	0.621	0.750	0	0.901
ATM	TP53	9606.ENSP00000278616	9606.ENSP00000269305	0	0	0	0	0	0.928	0.900	0	0.992
ATM	BRCA2	9606.ENSP00000278616	9606.ENSP00000369497	0	0	0	0	0	0.313	0.800	0	0.856
ATM	BRCA1	9606.ENSP00000278616	9606.ENSP00000418960	0	0	0	0	0	0.847	0.900	0	0.984
ATM	CHEK2	9606.ENSP00000278616	9606.ENSP00000372023	0	0	0	0	0	0.836	0.500	0	0.914
AXIN1	LRP6	9606.ENSP00000262320	9606.ENSP00000261349	0	0	0	0	0	0.851	0.500	0	0.922
AXIN1	ESR1	9606.ENSP00000262320	9606.ENSP00000405330	0	0	0	0	0	0	0.750	0	0.750
AXIN1	TNKS	9606.ENSP00000262320	9606.ENSP00000311579	0	0	0	0	0	0.851	0.500	0	0.922
AXIN1	CTNNB1	9606.ENSP00000262320	9606.ENSP00000495360	0	0	0	0	0	0.982	0.900	0	0.998
AXIN1	AXIN2	9606.ENSP00000262320	9606.ENSP00000302625	0	0	0	0.884	0	0.503	0.900	0	0.948
AXIN1	GSK3B	9606.ENSP00000262320	9606.ENSP00000324806	0	0	0	0	0	0.996	0.900	0	0.999
AXIN1	LRP5	9606.ENSP00000262320	9606.ENSP00000294304	0	0	0	0	0	0.658	0.500	0	0.821
AXIN2	TNKS	9606.ENSP00000302625	9606.ENSP00000311579	0	0	0	0	0	0.604	0.500	0	0.793
AXIN2	GSK3B	9606.ENSP00000302625	9606.ENSP00000324806	0	0	0	0	0	0.921	0.900	0	0.991
AXIN2	CTNNB1	9606.ENSP00000302625	9606.ENSP00000495360	0	0	0	0	0	0.869	0.900	0	0.986
BAP1	BARD1	9606.ENSP00000417132	9606.ENSP00000260947	0	0	0	0	0	0.070	0.900	0	0.903
BARD1	TP53	9606.ENSP00000260947	9606.ENSP00000269305	0	0	0	0	0	0.745	0.500	0	0.867
BARD1	BRCA2	9606.ENSP00000260947	9606.ENSP00000369497	0	0	0	0	0	0.793	0.720	0	0.939
BARD1	BRCA1	9606.ENSP00000260947	9606.ENSP00000418960	0	0	0	0.552	0	0.999	0.900	0	0.999
BAX	SIRT1	9606.ENSP00000293288	9606.ENSP00000212015	0	0	0	0	0	0	0.900	0	0.900
BAX	TP53	9606.ENSP00000293288	9606.ENSP00000269305	0	0	0	0	0	0.782	0.900	0	0.977
BAX	HK2	9606.ENSP00000293288	9606.ENSP00000290573	0	0	0	0	0	0	0.900	0	0.900
BAX	RUNX2	9606.ENSP00000293288	9606.ENSP00000360493	0	0	0	0	0	0	0.750	0	0.750
BAX	BCL2	9606.ENSP00000293288	9606.ENSP00000381185	0	0	0	0.641	0	0.991	0.900	0	0.999
BCKDHA	CTH	9606.ENSP00000269980	9606.ENSP00000359976	0	0	0	0	0	0	0.800	0	0.800
BCL2	MAPK1	9606.ENSP00000381185	9606.ENSP00000215832	0	0	0	0	0	0.292	0.900	0	0.926
BCL2	STAT3	9606.ENSP00000381185	9606.ENSP00000264657	0	0	0	0	0	0.056	0.750	0	0.753
BCL2	TP53	9606.ENSP00000381185	9606.ENSP00000269305	0	0	0	0	0	0.869	0.900	0	0.986
BCL2	SOD1	9606.ENSP00000381185	9606.ENSP00000270142	0	0	0	0	0	0.329	0.900	0	0.930
BCL2	CTSK	9606.ENSP00000381185	9606.ENSP00000271651	0	0	0	0	0	0	0.900	0	0.900
BCL2	BECN1	9606.ENSP00000381185	9606.ENSP00000355231	0	0	0	0	0	0.996	0.900	0	0.999
BCL2	MAPK8	9606.ENSP00000381185	9606.ENSP00000378974	0	0	0	0	0	0.287	0.900	0	0.925
BCL2	CREB1	9606.ENSP00000381185	9606.ENSP00000387699	0	0	0	0	0	0	0.750	0	0.750
BCL2	NR4A1	9606.ENSP00000381185	9606.ENSP00000440864	0	0	0	0	0	0.698	0.900	0	0.968
BDNF	NGFR	9606.ENSP00000414303	9606.ENSP00000172229	0	0	0	0	0	0.095	0.900	0	0.905
BDNF	MAPK1	9606.ENSP00000414303	9606.ENSP00000215832	0	0	0	0	0	0	0.750	0	0.750
BDNF	NTRK2	9606.ENSP00000414303	9606.ENSP00000277120	0	0	0	0	0	0.691	0.900	0	0.967
BECN1	TRAF6	9606.ENSP00000355231	9606.ENSP00000433623	0	0	0	0	0	0.820	0	0	0.820
BECN1	PINK1	9606.ENSP00000355231	9606.ENSP00000364204	0	0	0	0	0	0	0.900	0	0.900
BGLAP	RB1	9606.ENSP00000357255	9606.ENSP00000267163	0	0	0	0	0	0	0.750	0	0.750
BGLAP	RUNX2	9606.ENSP00000357255	9606.ENSP00000360493	0	0	0	0	0	0.246	0.750	0	0.803
BMP2	NOG	9606.ENSP00000368104	9606.ENSP00000328181	0	0	0	0	0	0.937	0.900	0	0.993
BMP2	RUNX2	9606.ENSP00000368104	9606.ENSP00000360493	0	0	0	0	0	0	0.750	0	0.750
BMP7	NOG	9606.ENSP00000379204	9606.ENSP00000328181	0	0	0	0	0	0.946	0.900	0	0.994
BRAF	MAPK1	9606.ENSP00000419060	9606.ENSP00000215832	0	0	0	0.586	0	0.647	0.700	0	0.889
BRAF	KRAS	9606.ENSP00000419060	9606.ENSP00000256078	0	0	0	0	0	0.870	0.900	0	0.986
BRAF	GSK3B	9606.ENSP00000419060	9606.ENSP00000324806	0	0	0	0.577	0	0	0.900	0	0.900
BRAF	NRAS	9606.ENSP00000419060	9606.ENSP00000358548	0	0	0	0	0	0.871	0.900	0	0.986
BRAF	HRAS	9606.ENSP00000419060	9606.ENSP00000407586	0	0	0	0	0	0.921	0.900	0	0.991
BRCA1	MLH1	9606.ENSP00000418960	9606.ENSP00000231790	0	0	0	0	0	0.835	0.540	0	0.920
BRCA1	CDK4	9606.ENSP00000418960	9606.ENSP00000257904	0	0	0	0	0	0.625	0.800	0	0.921
BRCA1	RB1	9606.ENSP00000418960	9606.ENSP00000267163	0	0	0	0	0	0.727	0	0	0.727
BRCA1	TP53	9606.ENSP00000418960	9606.ENSP00000269305	0	0	0	0	0	0.895	0.500	0	0.945
BRCA1	BRCA2	9606.ENSP00000418960	9606.ENSP00000369497	0	0	0	0	0	0.896	0.900	0	0.989
BRCA1	CHEK2	9606.ENSP00000418960	9606.ENSP00000372023	0	0	0	0	0	0.842	0.500	0	0.917
BRCA1	ESR1	9606.ENSP00000418960	9606.ENSP00000405330	0	0	0	0	0	0.904	0	0	0.904
BRCA1	MYC	9606.ENSP00000418960	9606.ENSP00000478887	0	0	0	0	0	0.825	0	0	0.825
BRCA2	CDK4	9606.ENSP00000369497	9606.ENSP00000257904	0	0	0	0	0	0.046	0.800	0	0.801
BRCA2	TP53	9606.ENSP00000369497	9606.ENSP00000269305	0	0	0	0	0	0.828	0	0	0.828
BRCA2	PARP1	9606.ENSP00000369497	9606.ENSP00000355759	0	0	0	0	0	0.621	0.400	0	0.762
CAMP	NFKB1	9606.ENSP00000296435	9606.ENSP00000226574	0	0	0	0	0	0	0.900	0	0.900
CAMP	RELA	9606.ENSP00000296435	9606.ENSP00000384273	0	0	0	0	0	0	0.900	0	0.900
CAMP	JUN	9606.ENSP00000296435	9606.ENSP00000360266	0	0	0	0	0	0	0.900	0	0.900
CAMP	HLA-DRB1	9606.ENSP00000296435	9606.ENSP00000353099	0	0	0	0	0	0.921	0	0	0.921
CASP1	IL1B	9606.ENSP00000433138	9606.ENSP00000263341	0	0	0	0	0	0.787	0.900	0	0.977
CASP1	IL18	9606.ENSP00000433138	9606.ENSP00000280357	0	0	0	0	0	0.292	0.900	0	0.926
CASP1	NLRP3	9606.ENSP00000433138	9606.ENSP00000337383	0	0	0	0	0	0.307	0.900	0	0.927
CASP1	GSDMD	9606.ENSP00000433138	9606.ENSP00000433209	0	0	0	0	0	0.932	0.900	0	0.992
CASP3	MAPK1	9606.ENSP00000311032	9606.ENSP00000215832	0	0	0	0	0	0.045	0.900	0	0.900
CASP3	GZMB	9606.ENSP00000311032	9606.ENSP00000216341	0	0	0	0	0	0.515	0.900	0	0.949
CASP3	MDM2	9606.ENSP00000311032	9606.ENSP00000258149	0	0	0	0	0	0.832	0	0	0.832
CASP3	VIM	9606.ENSP00000311032	9606.ENSP00000446007	0	0	0	0	0	0.451	0.750	0	0.857
CASP3	GSDMD	9606.ENSP00000311032	9606.ENSP00000433209	0	0	0	0	0	0.091	0.750	0	0.763
CASP3	CTNNB1	9606.ENSP00000311032	9606.ENSP00000495360	0	0	0	0	0	0.395	0.750	0	0.842
CASP3	MAPT	9606.ENSP00000311032	9606.ENSP00000340820	0	0	0	0	0	0.625	0.900	0	0.960
CASP3	CDKN1A	9606.ENSP00000311032	9606.ENSP00000384849	0	0	0	0	0	0.828	0.900	0	0.982
CASP3	PARP1	9606.ENSP00000311032	9606.ENSP00000355759	0	0	0	0	0	0.867	0.900	0	0.986
CAT	SOD2	9606.ENSP00000241052	9606.ENSP00000446252	0	0	0	0	0	0.252	0.792	0	0.837
CAT	SOD1	9606.ENSP00000241052	9606.ENSP00000270142	0	0	0	0	0	0.250	0.792	0	0.837
CBR1	CYP2E1	9606.ENSP00000290349	9606.ENSP00000440689	0	0	0	0	0	0	0.911	0	0.911
CBR1	CYP1A1	9606.ENSP00000290349	9606.ENSP00000378488	0	0	0	0	0	0	0.911	0	0.911
CBR1	DHFR	9606.ENSP00000290349	9606.ENSP00000396308	0	0	0	0	0	0	0.907	0	0.907
CBS	SPTLC2	9606.ENSP00000381231	9606.ENSP00000216484	0	0	0	0	0	0	0.800	0	0.800
CBS	SPTLC1	9606.ENSP00000381231	9606.ENSP00000262554	0	0	0	0	0	0	0.800	0	0.800
CBS	SHMT2	9606.ENSP00000381231	9606.ENSP00000333667	0	0	0	0	0	0	0.900	0	0.900
CBS	CTH	9606.ENSP00000381231	9606.ENSP00000359976	0	0	0	0	0	0.291	0.978	0	0.983
CCL2	JUN	9606.ENSP00000225831	9606.ENSP00000360266	0	0	0	0	0	0	0.900	0	0.900
CCL2	NFKB1	9606.ENSP00000225831	9606.ENSP00000226574	0	0	0	0	0	0	0.900	0	0.900
CCL2	RELA	9606.ENSP00000225831	9606.ENSP00000384273	0	0	0	0	0	0.510	0.900	0	0.948
CCL2	CXCL13	9606.ENSP00000225831	9606.ENSP00000286758	0	0	0	0	0	0.994	0	0	0.994
CCL2	CXCL8	9606.ENSP00000225831	9606.ENSP00000306512	0	0	0	0	0	0.994	0.400	0	0.996
CCL2	CXCL9	9606.ENSP00000225831	9606.ENSP00000354901	0	0	0	0	0	0.994	0	0	0.994
CCL2	CCR2	9606.ENSP00000225831	9606.ENSP00000292301	0	0	0	0	0	0.949	0.900	0	0.994
CCL20	CXCL12	9606.ENSP00000351671	9606.ENSP00000379140	0	0	0	0	0	0.994	0.500	0	0.996
CCND1	PRMT5	9606.ENSP00000227507	9606.ENSP00000319169	0	0	0	0	0	0.516	0.500	0	0.747
CCND1	HDAC4	9606.ENSP00000227507	9606.ENSP00000264606	0	0	0	0	0	0	0.800	0	0.800
CCND1	FOS	9606.ENSP00000227507	9606.ENSP00000306245	0	0	0	0	0	0.469	0.500	0	0.723
CCND1	CREB1	9606.ENSP00000227507	9606.ENSP00000387699	0	0	0	0	0	0	0.750	0	0.750
CCND1	STAT3	9606.ENSP00000227507	9606.ENSP00000264657	0	0	0	0	0	0.644	0.500	0	0.814
CCND1	GSK3B	9606.ENSP00000227507	9606.ENSP00000324806	0	0	0	0	0	0.409	0.900	0	0.938
CCND1	ESR1	9606.ENSP00000227507	9606.ENSP00000405330	0	0	0	0	0	0.625	0.750	0	0.902
CCND1	RB1	9606.ENSP00000227507	9606.ENSP00000267163	0	0	0	0	0	0.932	0.900	0	0.992
CCND1	CDKN2A	9606.ENSP00000227507	9606.ENSP00000418915	0	0	0	0	0	0.726	0.900	0	0.971
CCND1	CDK4	9606.ENSP00000227507	9606.ENSP00000257904	0	0	0	0	0	0.999	0.900	0	0.999
CCND1	CDKN1A	9606.ENSP00000227507	9606.ENSP00000384849	0	0	0	0	0	0.996	0.900	0	0.999
CD274	CD80	9606.ENSP00000370989	9606.ENSP00000264246	0	0	0	0.590	0	0.982	0.900	0	0.998
CD274	STAT3	9606.ENSP00000370989	9606.ENSP00000264657	0	0	0	0	0	0	0.750	0	0.750
CD274	PDCD1	9606.ENSP00000370989	9606.ENSP00000335062	0	0	0	0	0	0.983	0.900	0	0.998
CD28	PIK3CA	9606.ENSP00000324890	9606.ENSP00000263967	0	0	0	0	0	0.292	0.900	0	0.926
CD28	CD80	9606.ENSP00000324890	9606.ENSP00000264246	0	0	0	0	0	0.609	0.900	0	0.959
CD28	PIK3CB	9606.ENSP00000324890	9606.ENSP00000501150	0	0	0	0	0	0	0.900	0	0.900
CD28	PIK3R1	9606.ENSP00000324890	9606.ENSP00000428056	0	0	0	0	0	0.923	0.900	0	0.991
CD4	PTK2	9606.ENSP00000011653	9606.ENSP00000341189	0	0	0	0	0	0.797	0	0	0.797
CD4	SYK	9606.ENSP00000011653	9606.ENSP00000364898	0	0	0	0	0	0.321	0.900	0	0.929
CD4	HLA-DRB1	9606.ENSP00000011653	9606.ENSP00000353099	0	0	0	0	0	0.904	0.500	0	0.950
CD4	CD8A	9606.ENSP00000011653	9606.ENSP00000386559	0	0	0	0	0	0.098	0.900	0	0.905
CD40	CD40LG	9606.ENSP00000361359	9606.ENSP00000359663	0	0	0	0	0	0.948	0.900	0	0.994
CD40	TRAF6	9606.ENSP00000361359	9606.ENSP00000433623	0	0	0	0	0	0.895	0.900	0	0.989
CD44	CD74	9606.ENSP00000398632	9606.ENSP00000009530	0	0	0	0	0	0.541	0.720	0	0.865
CD44	COL1A1	9606.ENSP00000398632	9606.ENSP00000225964	0	0	0	0	0	0	0.900	0	0.900
CD44	ERBB2	9606.ENSP00000398632	9606.ENSP00000269571	0	0	0	0	0	0.695	0.900	0	0.968
CD44	EGFR	9606.ENSP00000398632	9606.ENSP00000275493	0	0	0	0	0	0.785	0	0	0.785
CD44	FN1	9606.ENSP00000398632	9606.ENSP00000346839	0	0	0	0	0	0.292	0.900	0	0.926
CD44	SPP1	9606.ENSP00000398632	9606.ENSP00000378517	0	0	0	0	0	0.369	0.900	0	0.934
CD44	VAV1	9606.ENSP00000398632	9606.ENSP00000472929	0	0	0	0	0	0	0.900	0	0.900
CD47	SIRPA	9606.ENSP00000355361	9606.ENSP00000478763	0	0	0	0	0	0.948	0.900	0	0.994
CD74	NAT10	9606.ENSP00000009530	9606.ENSP00000257829	0	0	0	0	0	0.780	0	0	0.780
CD74	LGMN	9606.ENSP00000009530	9606.ENSP00000376911	0	0	0	0	0	0	0.900	0	0.900
CD74	IMP3	9606.ENSP00000009530	9606.ENSP00000326981	0	0	0	0	0	0.766	0	0	0.766
CD74	HLA-DRB1	9606.ENSP00000009530	9606.ENSP00000353099	0	0	0	0	0	0.931	0.540	0	0.966
CD74	MIF	9606.ENSP00000009530	9606.ENSP00000215754	0	0	0	0	0	0.292	0.700	0	0.778
CD80	CTLA4	9606.ENSP00000264246	9606.ENSP00000497102	0	0	0	0	0	0.977	0.900	0	0.997
CD8A	SYK	9606.ENSP00000386559	9606.ENSP00000364898	0	0	0	0	0	0.045	0.900	0	0.900
CD8A	HLA-A	9606.ENSP00000386559	9606.ENSP00000379873	0	0	0	0	0	0.976	0.900	0	0.997
CD8A	HLA-B	9606.ENSP00000386559	9606.ENSP00000399168	0	0	0	0	0	0.585	0.900	0	0.956
CDK4	GSK3B	9606.ENSP00000257904	9606.ENSP00000324806	0	0	0	0.727	0	0.098	0.750	0	0.764
CDK4	RB1	9606.ENSP00000257904	9606.ENSP00000267163	0	0	0	0	0	0.994	0.900	0	0.999
CDK4	CDKN2A	9606.ENSP00000257904	9606.ENSP00000418915	0	0	0	0	0	0.994	0.900	0	0.999
CDK4	CDKN1A	9606.ENSP00000257904	9606.ENSP00000384849	0	0	0	0	0	0.999	0.900	0	0.999
