name;id;mesh_id;level;AKU_relevance
@DISEASE_Alzheimer_Disease;D000544;D000544;4.0;not relevant
@DISEASE_Alzheimer_Disease;D000544;D000544;5.0;not relevant
@DISEASE_Ameloblastoma;D000564;D000564;4.0;not relevant
@DISEASE_Amyloid_Neuropathies;D017772;D017772;4.0;relevant
@DISEASE_Amyloid_Neuropathies;D017772;D017772;5.0;relevant
@DISEASE_Amyloid_Neuropathies_Familial;D028227;D028227;4.0;relevant
@DISEASE_Amyloid_Neuropathies_Familial;D028227;D028227;4.0;relevant
@DISEASE_Amyloid_Neuropathies_Familial;D028227;D028227;5.0;relevant
@DISEASE_Amyloid_Neuropathies_Familial;D028227;D028227;5.0;relevant
@DISEASE_Amyloid_Neuropathies_Familial;D028227;D028227;5.0;relevant
@DISEASE_Amyloid_Neuropathies_Familial;D028227;D028227;6.0;relevant
@DISEASE_Amyloid_Neuropathies_Familial;D028227;D028227;6.0;relevant
@DISEASE_Amyloidosis;D000686;D000686;4.0;relevant
@DISEASE_Amyloidosis_Hereditary_Transthyretin_Related;C567782;;;relevant
@DISEASE_amyloidosis_IX;C562643;;;relevant
@DISEASE_Amyotrophic_Lateral_Sclerosis;D000690;D000690;4.0;relevant
@DISEASE_Amyotrophic_Lateral_Sclerosis;D000690;D000690;4.0;relevant
@DISEASE_Amyotrophic_Lateral_Sclerosis;D000690;D000690;4.0;relevant
@DISEASE_Amyotrophic_Lateral_Sclerosis;D000690;D000690;4.0;relevant
@DISEASE_Amyotrophic_Lateral_Sclerosis;D000690;D000690;5.0;relevant
@DISEASE_Amyotrophic_lateral_sclerosis_1;C531617;;;relevant
@DISEASE_Anaphylaxis;D000707;D000707;4.0;not relevant
@DISEASE_Androblastoma_of_ovary;C537588;;;not relevant
@DISEASE_Anemia;D000740;D000740;3.0;not relevant
@DISEASE_Anemia_Aplastic;D000741;D000741;4.0;not relevant
@DISEASE_Anemia_Aplastic;D000741;D000741;5.0;not relevant
@DISEASE_Anemia_Hemolytic;D000743;D000743;4.0;not relevant
@DISEASE_Anemia_Sickle_Cell;D000755;D000755;4.0;not relevant
@DISEASE_Anemia_Sickle_Cell;D000755;D000755;4.0;not relevant
@DISEASE_Anemia_Sickle_Cell;D000755;D000755;4.0;not relevant
@DISEASE_Anemia_Sickle_Cell;D000755;D000755;6.0;not relevant
@DISEASE_Aneurysm;D000783;D000783;3.0;not relevant
@DISEASE_Aneurysm_Ruptured;D017542;D017542;4.0;not relevant
@DISEASE_Angina_Pectoris;D000787;D000787;4.0;not relevant
@DISEASE_Angina_Pectoris;D000787;D000787;4.0;not relevant
@DISEASE_Angina_Pectoris;D000787;D000787;6.0;not relevant
@DISEASE_Angiomyolipoma;D018207;D018207;5.0;not relevant
@DISEASE_Angiomyolipoma;D018207;D018207;5.0;not relevant
@DISEASE_Anhedonia;D059445;D059445;3.0;not relevant
@DISEASE_Anhedonia;D059445;D059445;4.0;not relevant
@DISEASE_Anhedonia;D059445;D059445;5.0;not relevant
@DISEASE_Anodontia;D000848;D000848;4.0;not relevant
@DISEASE_Anodontia;D000848;D000848;4.0;not relevant
@DISEASE_Anodontia;D000848;D000848;5.0;not relevant
@DISEASE_Anophthalmia_with_pulmonary_hypoplasia;C537768;;;not relevant
@DISEASE_Anthropophobia;C000719191;;;not relevant
@DISEASE_Anti_Neutrophil_Cytoplasmic_Antibody_Associated_Vasculitis;D056648;D056648;3.0;not relevant
@DISEASE_Anti_Neutrophil_Cytoplasmic_Antibody_Associated_Vasculitis;D056648;D056648;4.0;not relevant
@DISEASE_Anti_Neutrophil_Cytoplasmic_Antibody_Associated_Vasculitis;D056648;D056648;5.0;not relevant
@DISEASE_Anus_Neoplasms;D001005;D001005;6.0;not relevant
@DISEASE_Anus_Neoplasms;D001005;D001005;7.0;not relevant
@DISEASE_Anus_Neoplasms;D001005;D001005;7.0;not relevant
@DISEASE_Anus_Neoplasms;D001005;D001005;7.0;not relevant
@DISEASE_Anus_Neoplasms;D001005;D001005;7.0;not relevant
@DISEASE_Anus_Neoplasms;D001005;D001005;8.0;not relevant
@DISEASE_Aortic_Aneurysm_Abdominal;D017544;D017544;5.0;relevant
@DISEASE_Aortic_Aneurysm_Abdominal;D017544;D017544;5.0;relevant
@DISEASE_Aortic_Aneurysm_Familial_Abdominal_1;C565230;;;relevant
@DISEASE_Aortic_Aneurysm_Thoracic;D017545;D017545;5.0;relevant
@DISEASE_Aortic_Aneurysm_Thoracic;D017545;D017545;5.0;relevant
@DISEASE_Aortic_Root_Aneurysm;D000094628;D000094628;6.0;relevant
@DISEASE_Aortic_Root_Aneurysm;D000094628;D000094628;6.0;relevant
@DISEASE_Aortic_Valve_Stenosis;D001024;D001024;4.0;relevant
@DISEASE_Aortic_Valve_Stenosis;D001024;D001024;5.0;relevant
@DISEASE_Aphasia_Wernicke;D001041;D001041;8.0;not relevant
@DISEASE_Aphasia_Wernicke;D001041;D001041;9.0;not relevant
@DISEASE_Apparent_mineralocorticoid_excess;C537422;;;not relevant
@DISEASE_Arrhythmias_Cardiac;D001145;D001145;3.0;relevant
@DISEASE_Arrhythmias_Cardiac;D001145;D001145;3.0;relevant
@DISEASE_Arthritis;D001168;D001168;3.0;relevant
@DISEASE_Arthritis_Infectious;D001170;D001170;2.0;relevant
@DISEASE_Arthritis_Infectious;D001170;D001170;4.0;relevant
@DISEASE_Arthritis_Juvenile;D001171;D001171;3.0;relevant
@DISEASE_Arthritis_Juvenile;D001171;D001171;3.0;relevant
@DISEASE_Arthritis_Juvenile;D001171;D001171;4.0;relevant
@DISEASE_Arthritis_Juvenile;D001171;D001171;4.0;relevant
@DISEASE_Arthritis_Psoriatic;D015535;D015535;4.0;relevant
@DISEASE_Arthritis_Psoriatic;D015535;D015535;5.0;relevant
@DISEASE_Arthritis_Psoriatic;D015535;D015535;6.0;relevant
@DISEASE_Arthritis_Psoriatic;D015535;D015535;7.0;relevant
@DISEASE_Arthritis_Rheumatoid;D001172;D001172;3.0;relevant
@DISEASE_Arthritis_Rheumatoid;D001172;D001172;3.0;relevant
@DISEASE_Arthritis_Rheumatoid;D001172;D001172;4.0;relevant
@DISEASE_Arthritis_Rheumatoid;D001172;D001172;4.0;relevant
@DISEASE_Arthropathy_progressive_pseudorheumatoid_of_childhood;C535387;;;relevant
@DISEASE_Ascending_aortic_aneurysm_hypertelorism_bifid_uvula_cleft_palate_and_arterial_tortuosity;C531732;;;relevant
@DISEASE_Aspergillosis;D001228;D001228;4.0;not relevant
@DISEASE_Astrocytoma;D001254;D001254;6.0;not relevant
@DISEASE_Astrocytoma;D001254;D001254;7.0;not relevant
@DISEASE_Astrocytoma;D001254;D001254;7.0;not relevant
@DISEASE_Ataxia;D001259;D001259;4.0;not relevant
@DISEASE_Ataxia;D001259;D001259;5.0;not relevant
@DISEASE_Ataxia_Sensory_Autosomal_Dominant;C563818;;;not relevant
@DISEASE_Ataxia_Telangiectasia;D001260;D001260;3.0;not relevant
@DISEASE_Ataxia_Telangiectasia;D001260;D001260;3.0;not relevant
@DISEASE_Ataxia_Telangiectasia;D001260;D001260;4.0;not relevant
@DISEASE_Ataxia_Telangiectasia;D001260;D001260;4.0;not relevant
@DISEASE_Ataxia_Telangiectasia;D001260;D001260;4.0;not relevant
@DISEASE_Ataxia_Telangiectasia;D001260;D001260;4.0;not relevant
@DISEASE_Ataxia_Telangiectasia;D001260;D001260;7.0;not relevant
@DISEASE_Ataxia_Telangiectasia;D001260;D001260;7.0;not relevant
@DISEASE_Atelosteogenesis_type_2;C535395;;;not relevant
@DISEASE_Atherosclerosis;D050197;D050197;5.0;not relevant
@DISEASE_Atrial_Fibrillation;D001281;D001281;4.0;not relevant
@DISEASE_Atrial_Fibrillation;D001281;D001281;4.0;not relevant
@DISEASE_Atrial_Remodeling;D064752;D064752;3.0;not relevant
@DISEASE_Atrial_Remodeling;D064752;D064752;3.0;not relevant
@DISEASE_Atrial_Remodeling;D064752;D064752;4.0;not relevant
@DISEASE_Atrophy;D001284;D001284;3.0;not relevant
@DISEASE_Axial_osteomalacia;C537791;;;not relevant
@DISEASE_Axial_Spondyloarthritis;D000089183;D000089183;4.0;relevant
@DISEASE_Axial_Spondyloarthritis;D000089183;D000089183;6.0;relevant
@DISEASE_Axial_Spondyloarthritis;D000089183;D000089183;7.0;relevant
@DISEASE_Bilateral_Vestibulopathy;D000071699;D000071699;3.0;not relevant
@DISEASE_Bilateral_Vestibulopathy;D000071699;D000071699;4.0;not relevant
@DISEASE_Bilateral_Vestibulopathy;D000071699;D000071699;5.0;not relevant
@DISEASE_Bile_Duct_Neoplasms;D001650;D001650;4.0;not relevant
@DISEASE_Bile_Duct_Neoplasms;D001650;D001650;4.0;not relevant
@DISEASE_Bile_Duct_Neoplasms;D001650;D001650;4.0;not relevant
@DISEASE_Bile_Duct_Neoplasms;D001650;D001650;5.0;not relevant
@DISEASE_Biliary_Atresia;D001656;D001656;3.0;not relevant
@DISEASE_Biliary_Atresia;D001656;D001656;4.0;not relevant
@DISEASE_Biliary_Atresia;D001656;D001656;4.0;not relevant
@DISEASE_Blast_Crisis;D001752;D001752;5.0;not relevant
@DISEASE_Blast_Crisis;D001752;D001752;6.0;not relevant
@DISEASE_Blast_Crisis;D001752;D001752;6.0;not relevant
@DISEASE_Blast_Crisis;D001752;D001752;6.0;not relevant
@DISEASE_Blast_Crisis;D001752;D001752;6.0;not relevant
@DISEASE_Blast_Crisis;D001752;D001752;6.0;not relevant
@DISEASE_Bone_Malalignment;D017760;D017760;3.0;relevant
@DISEASE_Bone_Neoplasms;D001859;D001859;3.0;relevant
@DISEASE_Bone_Neoplasms;D001859;D001859;3.0;relevant
@DISEASE_Bone_Resorption;D001862;D001862;3.0;relevant
@DISEASE_Bone_Resorption;D001862;D001862;4.0;relevant
@DISEASE_Bovine_Respiratory_Disease_Complex;D048090;D048090;3.0;not relevant
@DISEASE_Bovine_Respiratory_Disease_Complex;D048090;D048090;3.0;not relevant
@DISEASE_Bovine_Respiratory_Disease_Complex;D048090;D048090;3.0;not relevant
@DISEASE_Bradycardia;D001919;D001919;4.0;not relevant
@DISEASE_Bradycardia;D001919;D001919;4.0;not relevant
@DISEASE_Brain_Damage_Chronic;D001925;D001925;4.0;not relevant
@DISEASE_Brain_Damage_Chronic;D001925;D001925;5.0;not relevant
@DISEASE_Brain_Infarction;D020520;D020520;5.0;not relevant
@DISEASE_Brain_Infarction;D020520;D020520;5.0;not relevant
@DISEASE_Brain_Infarction;D020520;D020520;5.0;not relevant
@DISEASE_Brain_Infarction;D020520;D020520;5.0;not relevant
@DISEASE_Brain_Infarction;D020520;D020520;6.0;not relevant
@DISEASE_Brain_Infarction;D020520;D020520;6.0;not relevant
@DISEASE_Brain_Ischemia;D002545;D002545;4.0;not relevant
@DISEASE_Brain_Ischemia;D002545;D002545;5.0;not relevant
@DISEASE_Brain_Neoplasms;D001932;D001932;4.0;not relevant
@DISEASE_Brain_Neoplasms;D001932;D001932;4.0;not relevant
@DISEASE_Brain_Neoplasms;D001932;D001932;5.0;not relevant
@DISEASE_Breast_Neoplasms;D001943;D001943;3.0;not relevant
@DISEASE_Breast_Neoplasms;D001943;D001943;4.0;not relevant
@DISEASE_Breast_Neoplasms_Male;D018567;D018567;4.0;not relevant
@DISEASE_Breast_Neoplasms_Male;D018567;D018567;5.0;not relevant
@DISEASE_Bronchopulmonary_Dysplasia;D001997;D001997;4.0;not relevant
@DISEASE_Bronchopulmonary_Dysplasia;D001997;D001997;5.0;not relevant
@DISEASE_Burkitt_Lymphoma;D002051;D002051;5.0;not relevant
@DISEASE_Burkitt_Lymphoma;D002051;D002051;6.0;not relevant
@DISEASE_Burkitt_Lymphoma;D002051;D002051;6.0;not relevant
@DISEASE_Burkitt_Lymphoma;D002051;D002051;7.0;not relevant
@DISEASE_Burkitt_Lymphoma;D002051;D002051;7.0;not relevant
@DISEASE_Cachexia;D002100;D002100;5.0;not relevant
@DISEASE_Cachexia;D002100;D002100;6.0;not relevant
@DISEASE_Calcinosis;D002114;D002114;4.0;not relevant
@DISEASE_Calcinosis_Cutis;D000092182;D000092182;3.0;not relevant
@DISEASE_Calcinosis_Cutis;D000092182;D000092182;5.0;not relevant
@DISEASE_Campomelic_Dysplasia;D055036;D055036;3.0;not relevant
@DISEASE_Campomelic_Dysplasia;D055036;D055036;4.0;not relevant
@DISEASE_Canavan_Disease;D017825;D017825;4.0;not relevant
@DISEASE_Canavan_Disease;D017825;D017825;4.0;not relevant
@DISEASE_Canavan_Disease;D017825;D017825;4.0;not relevant
@DISEASE_Canavan_Disease;D017825;D017825;6.0;not relevant
@DISEASE_Canavan_Disease;D017825;D017825;6.0;not relevant
@DISEASE_Canavan_Disease;D017825;D017825;6.0;not relevant
@DISEASE_Canavan_Disease;D017825;D017825;6.0;not relevant
@DISEASE_Canavan_Disease;D017825;D017825;7.0;not relevant
@DISEASE_Candidiasis;D002177;D002177;4.0;not relevant
@DISEASE_Candidiasis_Oral;D002180;D002180;3.0;not relevant
@DISEASE_Candidiasis_Oral;D002180;D002180;5.0;not relevant
@DISEASE_Carcinogenesis;D063646;D063646;3.0;not relevant
@DISEASE_Carcinogenesis;D063646;D063646;4.0;not relevant
@DISEASE_Carcinoma;D002277;D002277;4.0;not relevant
@DISEASE_Carcinoma_Basal_Cell;D002280;D002280;5.0;not relevant
@DISEASE_Carcinoma_Basal_Cell;D002280;D002280;5.0;not relevant
@DISEASE_Carcinoma_Ductal;D044584;D044584;5.0;not relevant
@DISEASE_Carcinoma_Ductal;D044584;D044584;6.0;not relevant
@DISEASE_Carcinoma_Embryonal;D018236;D018236;4.0;not relevant
@DISEASE_Carcinoma_Endometrioid;D018269;D018269;5.0;not relevant
@DISEASE_Carcinoma_Endometrioid;D018269;D018269;5.0;not relevant
@DISEASE_Carcinoma_Endometrioid;D018269;D018269;6.0;not relevant
@DISEASE_Carcinoma_Endometrioid;D018269;D018269;6.0;not relevant
@DISEASE_Carcinoma_Endometrioid;D018269;D018269;7.0;not relevant
@DISEASE_Carcinoma_Endometrioid;D018269;D018269;7.0;not relevant
@DISEASE_Carcinoma_Endometrioid;D018269;D018269;7.0;not relevant
@DISEASE_Carcinoma_Endometrioid;D018269;D018269;8.0;not relevant
@DISEASE_Carcinoma_Endometrioid;D018269;D018269;8.0;not relevant
@DISEASE_Carcinoma_Hepatocellular;D006528;D006528;4.0;not relevant
@DISEASE_Carcinoma_Hepatocellular;D006528;D006528;4.0;not relevant
@DISEASE_Carcinoma_Hepatocellular;D006528;D006528;5.0;not relevant
@DISEASE_Carcinoma_Hepatocellular;D006528;D006528;6.0;not relevant
@DISEASE_Carcinoma_Intraductal_Noninfiltrating;D002285;D002285;5.0;not relevant
@DISEASE_Carcinoma_Intraductal_Noninfiltrating;D002285;D002285;6.0;not relevant
@DISEASE_Carcinoma_Intraductal_Noninfiltrating;D002285;D002285;7.0;not relevant
@DISEASE_Carcinoma_Lewis_Lung;D018827;D018827;3.0;not relevant
@DISEASE_Carcinoma_Lewis_Lung;D018827;D018827;5.0;not relevant
@DISEASE_Carcinoma_Merkel_Cell;D015266;D015266;4.0;not relevant
@DISEASE_Carcinoma_Merkel_Cell;D015266;D015266;5.0;not relevant
@DISEASE_Carcinoma_Merkel_Cell;D015266;D015266;7.0;not relevant
@DISEASE_Carcinoma_Merkel_Cell;D015266;D015266;7.0;not relevant
@DISEASE_Carcinoma_Merkel_Cell;D015266;D015266;7.0;not relevant
@DISEASE_Carcinoma_Neuroendocrine;D018278;D018278;6.0;not relevant
@DISEASE_Carcinoma_Neuroendocrine;D018278;D018278;6.0;not relevant
@DISEASE_Carcinoma_Neuroendocrine;D018278;D018278;6.0;not relevant
@DISEASE_Carcinoma_Non_Small_Cell_Lung;D002289;D002289;5.0;not relevant
@DISEASE_Carcinoma_Non_Small_Cell_Lung;D002289;D002289;6.0;not relevant
@DISEASE_Carcinoma_Non_Small_Cell_Lung;D002289;D002289;8.0;not relevant
@DISEASE_Carcinoma_Ovarian_Epithelial;D000077216;D000077216;4.0;not relevant
@DISEASE_Carcinoma_Ovarian_Epithelial;D000077216;D000077216;5.0;not relevant
@DISEASE_Carcinoma_Ovarian_Epithelial;D000077216;D000077216;5.0;not relevant
@DISEASE_Carcinoma_Ovarian_Epithelial;D000077216;D000077216;5.0;not relevant
@DISEASE_Carcinoma_Ovarian_Epithelial;D000077216;D000077216;5.0;not relevant
@DISEASE_Carcinoma_Ovarian_Epithelial;D000077216;D000077216;7.0;not relevant
@DISEASE_Carcinoma_Ovarian_Epithelial;D000077216;D000077216;7.0;not relevant
@DISEASE_Carcinoma_Ovarian_Epithelial;D000077216;D000077216;8.0;not relevant
@DISEASE_Carcinoma_Pancreatic_Ductal;D021441;D021441;4.0;not relevant
@DISEASE_Carcinoma_Pancreatic_Ductal;D021441;D021441;4.0;not relevant
@DISEASE_Carcinoma_Pancreatic_Ductal;D021441;D021441;4.0;not relevant
@DISEASE_Carcinoma_Pancreatic_Ductal;D021441;D021441;5.0;not relevant
@DISEASE_Carcinoma_Pancreatic_Ductal;D021441;D021441;5.0;not relevant
@DISEASE_Carcinoma_Pancreatic_Ductal;D021441;D021441;6.0;not relevant
@DISEASE_Carcinoma_Pancreatic_Ductal;D021441;D021441;7.0;not relevant
@DISEASE_Carcinoma_Papillary;D002291;D002291;5.0;not relevant
@DISEASE_Carcinoma_Papillary;D002291;D002291;5.0;not relevant
@DISEASE_Carcinoma_Renal_Cell;D002292;D002292;5.0;relevant
@DISEASE_Carcinoma_Renal_Cell;D002292;D002292;5.0;relevant
@DISEASE_Carcinoma_Renal_Cell;D002292;D002292;5.0;relevant
@DISEASE_Carcinoma_Renal_Cell;D002292;D002292;6.0;relevant
@DISEASE_Carcinoma_Renal_Cell;D002292;D002292;6.0;relevant
@DISEASE_Carcinoma_Renal_Cell;D002292;D002292;6.0;relevant
@DISEASE_Carcinoma_Renal_Cell;D002292;D002292;6.0;relevant
@DISEASE_Carcinoma_Renal_Cell;D002292;D002292;7.0;relevant
@DISEASE_Carcinoma_Renal_Cell;D002292;D002292;7.0;relevant
@DISEASE_Carcinoma_Squamous_Cell;D002294;D002294;5.0;not relevant
@DISEASE_Carcinoma_Squamous_Cell;D002294;D002294;5.0;not relevant
@DISEASE_Carcinosarcoma;D002296;D002296;4.0;not relevant
@DISEASE_Carcinosarcoma;D002296;D002296;5.0;not relevant
@DISEASE_Cardiomegaly;D006332;D006332;3.0;not relevant
@DISEASE_Cardiomegaly;D006332;D006332;4.0;not relevant
@DISEASE_Cardiomyopathies;D009202;D009202;3.0;not relevant
@DISEASE_Cardiomyopathy_Dilated;D002311;D002311;4.0;not relevant
@DISEASE_Cardiomyopathy_Dilated;D002311;D002311;4.0;not relevant
@DISEASE_Cardiomyopathy_Dilated;D002311;D002311;4.0;not relevant
@DISEASE_Cardiomyopathy_Dilated_with_Left_Ventricular_Noncompaction;C565277;;;not relevant
@DISEASE_Cardiomyopathy_Hypertrophic;D002312;D002312;4.0;not relevant
@DISEASE_Cardiomyopathy_Hypertrophic;D002312;D002312;7.0;not relevant
@DISEASE_Carotid_Artery_Thrombosis;D002341;D002341;5.0;not relevant
@DISEASE_Carotid_Artery_Thrombosis;D002341;D002341;5.0;not relevant
@DISEASE_Carotid_Artery_Thrombosis;D002341;D002341;6.0;not relevant
@DISEASE_Carotid_Artery_Thrombosis;D002341;D002341;6.0;not relevant
@DISEASE_Cell_Transformation_Neoplastic;D002471;D002471;4.0;not relevant
@DISEASE_Cell_Transformation_Neoplastic;D002471;D002471;5.0;not relevant
@DISEASE_Cell_Transformation_Viral;D002472;D002472;3.0;not relevant
@DISEASE_Cell_Transformation_Viral;D002472;D002472;5.0;not relevant
@DISEASE_Cell_Transformation_Viral;D002472;D002472;6.0;not relevant
@DISEASE_Cerebellar_Ataxia;D002524;D002524;5.0;not relevant
@DISEASE_Cerebellar_Ataxia;D002524;D002524;5.0;not relevant
@DISEASE_Cerebellar_Ataxia;D002524;D002524;6.0;not relevant
@DISEASE_Cerebellar_Ataxia_and_Hypogonadotropic_Hypogonadism;C565870;;;not relevant
@DISEASE_Cerebral_Infarction;D002544;D002544;6.0;not relevant
@DISEASE_Cerebral_Infarction;D002544;D002544;6.0;not relevant
@DISEASE_Cerebral_Infarction;D002544;D002544;6.0;not relevant
@DISEASE_Cerebral_Infarction;D002544;D002544;6.0;not relevant
@DISEASE_Cerebral_Infarction;D002544;D002544;7.0;not relevant
@DISEASE_Cerebral_Infarction;D002544;D002544;7.0;not relevant
@DISEASE_Cerebral_Palsy;D002547;D002547;5.0;not relevant
@DISEASE_Cerebral_Ventricle_Neoplasms;D002551;D002551;5.0;not relevant
@DISEASE_Cerebral_Ventricle_Neoplasms;D002551;D002551;5.0;not relevant
@DISEASE_Cerebral_Ventricle_Neoplasms;D002551;D002551;6.0;not relevant
@DISEASE_Channelopathies;D053447;D053447;3.0;not relevant
@DISEASE_Charcot_Marie_Tooth_Disease;D002607;D002607;4.0;not relevant
@DISEASE_Charcot_Marie_Tooth_Disease;D002607;D002607;5.0;not relevant
@DISEASE_Charcot_Marie_Tooth_Disease;D002607;D002607;5.0;not relevant
@DISEASE_Charcot_Marie_Tooth_Disease;D002607;D002607;5.0;not relevant
@DISEASE_Charcot_Marie_Tooth_Disease;D002607;D002607;6.0;not relevant
@DISEASE_Cherubism;D002636;D002636;3.0;not relevant
@DISEASE_Cherubism;D002636;D002636;3.0;not relevant
@DISEASE_Cherubism;D002636;D002636;3.0;not relevant
@DISEASE_Cherubism;D002636;D002636;6.0;not relevant
@DISEASE_Cherubism;D002636;D002636;6.0;not relevant
@DISEASE_Cholangiocarcinoma;D018281;D018281;6.0;not relevant
@DISEASE_Cholestasis;D002779;D002779;4.0;not relevant
@DISEASE_Cholestasis_Extrahepatic;D001651;D001651;5.0;not relevant
@DISEASE_Cholestasis_Intrahepatic;D002780;D002780;3.0;not relevant
